#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 03 14 23 19 270  5.8  7.0 99.00 99.00 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2008 03 15 00 19 261  3.6  5.0  1.38  7.11 99.00 999 9999.0  15.3 999.0 999.0 99.0 99.00
2008 03 15 01 19 245  2.8  4.4 99.00 99.00 99.00 999 9999.0  14.5 999.0 999.0 99.0 99.00
2008 03 15 02 19 284  2.3  3.9  1.29  8.26 99.00 999 9999.0  14.2 999.0 999.0 99.0 99.00
2008 03 15 03 19 241  1.9  2.8  1.23  8.53 99.00 999 9999.0  14.1 999.0 999.0 99.0 99.00
2008 03 17 19 16 257  3.2  4.6  1.40 11.13 99.00 999 9999.0  14.0 999.0 999.0 99.0 99.00
2008 03 17 21 20 278  3.4  4.8  1.47  9.85 99.00 999 9999.0  14.9 999.0 999.0 99.0 99.00
2008 03 17 23 17 300  3.5  4.6  1.28  9.85 99.00 999 9999.0  16.9 999.0 999.0 99.0 99.00
2008 03 18 00 19 300  4.5  6.6  1.06 11.13 99.00 999 9999.0  17.2 999.0 999.0 99.0 99.00
2008 03 18 01 19 316  3.3  4.5  1.13 10.67 99.00 999 9999.0  16.7 999.0 999.0 99.0 99.00
2008 03 18 02 19 334  1.6  2.5  1.04 11.13 99.00 999 9999.0  15.0 999.0 999.0 99.0 99.00
2008 03 18 03 19 327  2.6  4.2  1.09 10.67 99.00 999 9999.0  14.6 999.0 999.0 99.0 99.00
2008 03 18 04 19  72  0.5  1.2  1.05 10.67 99.00 999 9999.0  13.3 999.0 999.0 99.0 99.00
